City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
405,Timberlake,US,78.76,clear sky,37.3207,-79.2575,Timberlake Motel
407,Sobral,BR,73.98,heavy intensity rain,-3.6861,-40.3497,Hotel Vitória
408,Portland,US,62.58,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
409,Coquimbo,CL,56.93,few clouds,-29.9533,-71.3436,Hotel San Juan
411,Arlit,NE,85.37,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
412,Lodwar,KE,83.62,light rain,3.1191,35.5973,Solmar Gracious Hotel
413,Xining,CN,50.11,overcast clouds,36.6167,101.7667,Super Leisure Hotel
414,Sawakin,SD,81.28,broken clouds,19.1059,37.3321,فندق الدويم
417,Kyabram,AU,59.88,overcast clouds,-36.3167,145.05,Kyabram Motor Inn
421,Zajecar,RS,56.05,light rain,43.9036,22.2641,Hotel Hamburg
422,Naze,JP,72.52,overcast clouds,28.3667,129.4833,Shishime Hotel
423,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
424,Lata,PT,50.81,light rain,40.1629,-8.3327,Casa Maquia
427,Natal,BR,77.65,moderate rain,-5.795,-35.2094,Villa Park Hotel | Natal
429,Northam,GB,52.25,overcast clouds,51.0333,-4.2167,Durrant House Hotel
430,Hopelchen,MX,75.52,broken clouds,19.7667,-89.85,Hotel Jaguar
431,Ngorongoro,TZ,51.91,broken clouds,-3.2397,35.4875,Simba Special Campsite B
433,Shantipur,IN,79.02,clear sky,23.25,88.4667,Ganesh Avenue
435,Griffith,US,59.31,mist,41.5284,-87.4237,Apartment above Depot Bar
436,Biak,ID,80.15,overcast clouds,-0.9131,122.8766,Penginapan Kim
437,Sena Madureira,BR,75.45,overcast clouds,-9.0656,-68.6569,Hotel Central
439,Bolama,GW,75.54,broken clouds,11.5833,-15.4667,Hotel Samaritana
444,Ilebo,CD,72.46,moderate rain,-4.3167,20.5833,Hôtel BUMAK
446,Vaitape,PF,79.79,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
448,Moses Lake,US,62.96,clear sky,47.1301,-119.2781,Ramada by Wyndham Moses Lake
449,Harindanga,IN,81.03,clear sky,22.0383,88.3214,Hasanur Builders
450,Pedreiras,BR,74.01,broken clouds,-4.5688,-44.6003,Hotel Princesa do Mearim
452,Kieta,PG,80.38,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
454,Tual,ID,83.93,broken clouds,-5.6667,132.75,Grand Vilia Hotel
455,Chaohu,CN,66.81,moderate rain,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
456,Lorengau,PG,84.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
458,Buala,SB,83.39,light rain,-8.145,159.5921,Maringe Lagoon Lodge
459,Payakumbuh,ID,71.74,overcast clouds,-0.2202,100.6308,Dalimo Homestay
460,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
461,Ciro Marina,IT,57.34,scattered clouds,39.3732,17.126,Hotel Miramare
465,Beziers,FR,57.38,clear sky,43.3476,3.219,Hôtel Terminus
466,Paita,PE,69.89,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
467,Warri,NG,77.9,overcast clouds,5.5167,5.75,BON Hotel Delta
468,Molina,CL,60.53,broken clouds,-35.1167,-71.2833,Hostal Pucará
469,Dingle,PH,82.35,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
470,Dagana,MR,82.8,broken clouds,16.5165,-15.5068,Quartier Dille koumba fatim thiam
